id,type,question,answer,keyword_score,source_hit,refusal_correct,pass,sources
1,project,What does the AMR watchdog node monitor?,"The AMR watchdog node monitors critical liveness/state signals such as LiDAR, camera heartbeat, obstacle/front-distance, battery, and cmd_vel. It also checks raw LiDAR distance while the robot is moving forward.",1.0,True,,True,AMR_Project_Learning_Handbook.docx | watchdog_node_parameterized_explanation.docx | Vector_AMR_Complete_Interview_Handbook.docx
2,project,Why is the watchdog separate from the decision node?,"The watchdog is separately designed to ensure safety even if the decision node has a bug, maintaining independent supervision over critical liveness/state signals such as LiDAR, camera heartbeat, and battery. This separation guarantees that a fault in the decision logic does not compromise the safety system, preserving the ability to assert emergency stop when necessary.",1.0,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx
3,project,Why does my AMR use BEST_EFFORT QoS for camera images?,"The AMR uses BEST_EFFORT QoS for camera images to prioritize low latency over guaranteed delivery, as the consumer (e.g., a slow processor or viewer) does not require retransmission of outdated frames. This approach avoids the overhead of guaranteed delivery mechanisms, enabling efficient transmission of high-rate sensor data while accommodating potential delays in consumption.",0.33,True,,False,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx
4,project,Why does the watchdog use a camera heartbeat instead of subscribing to full camera images?,"The watchdog uses a camera heartbeat instead of subscribing to full camera images to reduce CPU usage and eliminate redundant deserialization/copying, aligning with the message payload's actual requirements for liveness monitoring.",1.0,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
5,hardware,What is the maximum measuring range of the RPLIDAR C1?,The maximum measuring range of the RPLIDAR C1 is up to a radius of 12 meters.,1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
6,hardware,What is the typical scanning frequency of the RPLIDAR C1?,The typical scanning frequency of the RPLIDAR C1 is 10Hz.,1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
7,hardware,What is the sample rate of the RPLIDAR C1?,"The sample rate of the RPLIDAR C1 is 5KHz, as specified in the datasheet.",1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
8,hardware,How does the RPLIDAR C1 measure distance?,"The RPLIDAR C1 measures distance using the laser flight-of-time (TOF) principle. It emits modulated infrared laser signals, which are reflected by objects. The returning signal's time of flight is sampled by the laser acquisition system, and the processor calculates the distance based on this time, combining it with high-precision fusion algorithms to determine the object's position.",1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
9,project,What does the motor control node do in my AMR?,"The motor-control node converts Twist commands into signed PWM values and sends them via USB serial to an ESP32-C3, which drives the H-bridges via the BTS7960 motor-driver modules. It performs differential mixing, where base speed is derived from linear velocity and turn speed from angular velocity, enabling straight movement with equal commands or curvature with unequal commands.",0.67,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
10,project,What is TensorRT used for in my AMR?,"TensorRT is used to optimize the inference plan for the NVIDIA Jetson device by converting the exported network into a GPU-targeted engine, resulting in lower latency and higher/stable throughput.",1.0,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
11,project,Why does the AMR still need a tracker after YOLO detects a person?,"The AMR requires a tracker after YOLO detects a person to maintain temporal identity and smooth prediction through brief misses, even though YOLO detections are frame-local. The tracker ensures continuity across frames, allowing the system to maintain accurate tracking of individuals despite temporary detection gaps.",1.0,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
12,ros2,What does BEST_EFFORT reliability mean in ROS 2 QoS?,"BEST_EFFORT reliability in ROS 2 QoS refers to a policy that ensures messages are delivered as soon as possible but does not guarantee delivery, making it suitable for scenarios where reliability is not critical. It is implemented using UDP, which allows for multicasting if configured appropriately, and does not enforce any guarantees regarding message delivery or order. This aligns with the ""best effort"" approach, where nodes operate without ensuring message reliability, similar to TCPROS in ROS 1.",0.5,True,,True,ROS2_Humble_QoS_Settings.rst | ROS2_Humble_QoS_Settings.rst | Vector_AMR_Complete_Interview_Handbook.docx
13,unanswerable,What GPS module does my AMR use?,I do not have enough information in the knowledge base to answer that.,,,True,True,README_AUDIO_HARDWARE.txt | Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx
14,unanswerable,What exact IMU sensor model does my AMR use?,I do not have enough information in the knowledge base to answer that.,,,True,True,README_AUDIO_HARDWARE.txt | Vector_AMR_Complete_Interview_Handbook.docx | Waveshare_IMX219-120_Camera_Wiki.html
15,unanswerable,What is the exact manufacturer and model number of my AMR USB microphone?,I do not have enough information in the knowledge base to answer that.,,,True,True,README_AUDIO_HARDWARE.txt | NVIDIA_Jetson_Orin_Nano_Developer_Kit_Carrier_Board_Specification.pdf | NVIDIA_Jetson_Orin_Nano_Developer_Kit_Carrier_Board_Specification.pdf
