id,type,question,answer,keyword_score,source_hit,refusal_correct,pass,sources
1,project,What does the AMR watchdog node monitor?,"The AMR watchdog node monitors LiDAR, camera heartbeat, obstacle/front-distance, battery and cmd_vel.",1.0,True,,True,AMR_Project_Learning_Handbook.docx | watchdog_node_parameterized_explanation.docx | Vector_AMR_Complete_Interview_Handbook.docx
2,project,Why is the watchdog separate from the decision node?,The watchdog is deliberately separate from the decision node because a fault in normal behaviour code should not remove the independent safety layer.,1.0,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx
3,project,Why does my AMR use BEST_EFFORT QoS for camera images?,For a high-rate sensor streams use a “freshness over guaranteed delivery” philosophy. Camera image subscriptions commonly use the ROS sensor-data profile (BEST_EFFORT and shallow history) so a slow consumer does not demand retransmission of old frames.,0.67,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx
4,project,Why does the watchdog use a camera heartbeat instead of subscribing to full camera images?,The watchdog uses a camera heartbeat instead of subscribing to full camera images because receiving full camera frames wastes DDS/Python copying and CPU. A 1 Hz heartbeat tied to successful frames preserves the safety information at a fraction of the cost.,0.67,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
5,hardware,What is the maximum measuring range of the RPLIDAR C1?,The maximum measuring distance of the RPLIDAR C1 is 12 meters.,1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
6,hardware,What is the typical scanning frequency of the RPLIDAR C1?,10Hz (600rpm),1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
7,hardware,What is the sample rate of the RPLIDAR C1?,5KHz,1.0,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
8,hardware,How does the RPLIDAR C1 measure distance?,The RPLIDAR C1 measures distance using the laser flight-of-time (TOF) ranging principle and high-speed laser acquisition and high-precision fusion algorithm developed by SLAMTEC.,0.67,True,,True,SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf | SLAMTEC_RPLIDAR_C1_Datasheet.pdf
9,project,What does the motor control node do in my AMR?,"The motor control node converts Twist commands into signed PWM values and sends them by USB serial to an ESP32-C3, which drives two BTS7960 motor-driver modules.",0.67,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
10,project,What is TensorRT used for in my AMR?,TensorRT is used for low latency and stable throughput on the edge device.,0.0,True,,False,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
11,project,Why does the AMR still need a tracker after YOLO detects a person?,"The AMR still needs a tracker because YOLO detections are frame-local. The tracker adds temporal identity, smooth prediction through brief misses and lets the decision node maintain the same person rather than selecting an unrelated detection every frame.",1.0,True,,True,Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx | Vector_AMR_Complete_Interview_Handbook.docx
12,ros2,What does BEST_EFFORT reliability mean in ROS 2 QoS?,"The BEST_EFFORT reliability policy is designed to provide functionality similar to ""latching"" publishers, meaning it allows for multicasting if appropriate. It’s a transient local policy that provides a best-effort approach.",0.0,True,,False,ROS2_Humble_QoS_Settings.rst | ROS2_Humble_QoS_Settings.rst | Vector_AMR_Complete_Interview_Handbook.docx
13,unanswerable,What GPS module does my AMR use?,The provided text does not specify which GPS module your AMR uses. It only mentions that it uses a low-cost USB microphone and a low-cost Bluetooth speaker.,,,False,False,README_AUDIO_HARDWARE.txt | Vector_AMR_Complete_Interview_Handbook.docx | AMR_Project_Learning_Handbook.docx
14,unanswerable,What exact IMU sensor model does my AMR use?,The AMR uses a low-cost generic USB microphone (approximately INR 200) and a low-cost Bluetooth speaker (approximately INR 250; Mini Boost 4 style / non-genuine JBL).,,,False,False,README_AUDIO_HARDWARE.txt | Vector_AMR_Complete_Interview_Handbook.docx | Waveshare_IMX219-120_Camera_Wiki.html
15,unanswerable,What is the exact manufacturer and model number of my AMR USB microphone?,"The context states that the AMR uses a ""low-cost generic USB microphone (approximately INR 200)"" and ""a low-cost Bluetooth speaker (approximately INR 250; Mini Boost 4 style / non-genuine JBL)"".  It does not provide a manufacturer or model number for either device.",,,False,False,README_AUDIO_HARDWARE.txt | NVIDIA_Jetson_Orin_Nano_Developer_Kit_Carrier_Board_Specification.pdf | NVIDIA_Jetson_Orin_Nano_Developer_Kit_Carrier_Board_Specification.pdf
